Xa1,Xb1,Xc1,Xd1,Ya1,Yb1,Yc1,Yd1,Time
7125.449352,265.650155,10.218267,1742.515866,7984.378899,75.495127,10.306465,2673.448742,17:58:33
7097.030778,265.640670,10.297010,1744.706432,8013.806437,75.483020,10.272593,2678.614925,17:58:33
7100.189367,265.615715,10.268162,1745.353311,7995.833643,75.441931,10.257618,2680.592267,17:58:34
7090.837343,265.647894,10.264389,1754.888774,7988.504123,75.442463,10.261952,2695.001670,17:58:34
7097.819554,265.649605,10.293795,1762.493016,8002.503229,75.462419,10.297638,2705.887733,17:58:35
7108.232232,265.643716,10.292393,1765.598958,8009.345063,75.473395,10.296067,2711.061598,17:58:35
7054.012160,265.634098,10.351293,1768.358604,8020.977124,75.476151,10.239312,2716.805853,17:58:35
7088.235408,265.615353,10.341734,1764.869527,8031.603577,75.497717,10.255169,2711.680456,17:58:36
7070.467363,265.625744,10.328432,1754.271607,8003.594322,75.503980,10.265561,2694.466156,17:58:36
7089.155263,265.608706,10.308981,1752.543201,8006.358431,75.499941,10.269285,2691.723763,17:58:36
7068.870406,265.629068,10.354577,1747.671751,8034.545408,75.473491,10.230477,2685.041822,17:58:37
7060.001348,265.590374,10.389949,1742.583573,8037.095144,75.483848,10.246686,2677.045335,17:58:37
7085.297989,265.603363,10.296497,1738.900645,8013.838587,75.499994,10.266318,2668.936828,17:58:37
7095.930863,265.639299,10.301687,1744.014384,7998.454103,75.475612,10.286237,2678.037436,17:58:38
7093.310912,265.627243,10.296740,1746.433721,8004.629276,75.480307,10.268906,2681.940350,17:58:38
7126.535171,265.630079,10.246156,1757.789452,7998.299547,75.462519,10.311783,2697.659004,17:58:38
7101.981040,265.620992,10.295672,1759.309266,8002.483301,75.480362,10.278903,2702.375877,17:58:39
7092.951064,265.622928,10.275668,1760.744885,8003.944621,75.505667,10.235579,2705.338980,17:58:39
7060.532192,265.632823,10.326949,1764.699820,8017.444090,75.495034,10.221404,2711.595180,17:58:39
7065.659747,265.611319,10.350103,1769.554456,8010.306160,75.463436,10.246934,2719.852795,17:58:40
7084.099335,265.614267,10.335561,1770.073502,8023.959080,75.461859,10.286426,2717.989524,17:58:40
7089.993986,265.656966,10.298302,1759.740787,7989.620765,75.460992,10.283764,2702.972166,17:58:41
7101.586594,265.597684,10.315712,1757.085174,8009.814933,75.461536,10.277026,2699.441699,17:58:41
7107.163292,265.632335,10.278915,1752.287201,7999.815251,75.472637,10.282015,2690.865558,17:58:41
7080.359190,265.653994,10.313830,1744.964716,8003.139705,75.467031,10.292114,2678.300604,17:58:42
7071.154281,265.613155,10.353193,1744.844758,8002.818956,75.492012,10.282923,2680.002317,17:58:42
7059.647890,265.604680,10.343939,1737.990420,8008.339829,75.451720,10.233731,2670.324588,17:58:42
7051.903688,265.627572,10.352657,1744.365483,8013.326388,75.469683,10.206298,2681.448297,17:58:43
7046.634513,265.625135,10.359914,1747.579151,8009.429020,75.478166,10.231653,2685.294859,17:58:43
7060.941807,265.631418,10.331045,1756.593680,8012.605990,75.484343,10.245901,2698.012205,17:58:43
7070.291876,265.641257,10.326968,1763.546498,8003.020735,75.462890,10.258330,2709.437449,17:58:44
7108.944802,265.624251,10.294531,1772.401188,8007.920429,75.478757,10.320262,2720.629540,17:58:44
7105.442793,265.634041,10.284636,1772.514535,8000.171497,75.472587,10.301567,2721.702660,17:58:44
7065.480787,265.623654,10.355049,1765.716784,8003.146945,75.449770,10.294758,2711.806181,17:58:45
7130.590500,265.616609,10.296246,1773.290187,8015.324213,75.434519,10.371693,2720.186531,17:58:45
